repo__npm_pkg,repo__nameWithOwner,repo__hasTestScript,repo__npms_score,data__version,data__hash
uuid,kelektiv/node-uuid,1,0.9365171821421499,1.4.0,aad2f828d83bf7927027e911111a3faa803e4809
uuid,kelektiv/node-uuid,1,0.9365171821421499,1.4.1,38ac27d89f6f880e0f42b17aa89921d490692bbf
uuid,kelektiv/node-uuid,1,0.9365171821421499,1.4.2,14c42d2568977f7ddfc02399bd2a6b09e2cfbe5f
uuid,kelektiv/node-uuid,1,0.9365171821421499,2.0.3,978212cbcece56934a1a9f65c024d41f9c9dec39
uuid,kelektiv/node-uuid,1,0.9365171821421499,3.0.0,923fe4a7893c2057b608c0c74743ad5512599072
uuid,kelektiv/node-uuid,1,0.9365171821421499,3.0.1,374de826de71d8997f71b4641f65552e48956ced
uuid,kelektiv/node-uuid,1,0.9365171821421499,3.1.0,c50ac88f098ecfbff9a940816c8e6825ffd7e05a
uuid,kelektiv/node-uuid,1,0.9365171821421499,3.2.0,c0d44fda8abeac5eb1444f03a135f8a6353854da
uuid,kelektiv/node-uuid,1,0.9365171821421499,3.2.1,8561cc69be8c808c23fe81cd9796d332f4711476
uuid,kelektiv/node-uuid,1,0.9365171821421499,3.3.0,48ef127e516be7fc39718686a4fe5837aa392783
uuid,kelektiv/node-uuid,1,0.9365171821421499,3.3.2,fe4ae79c55af2c7cbf2bb39d3bcb6716d5367091
uuid,kelektiv/node-uuid,1,0.9365171821421499,3.3.3,ab33c8a77df180de1a12fede423490b3c2de9d07
uuid,kelektiv/node-uuid,1,0.9365171821421499,3.4.0,3df73a98f07c0a38a94bcaf1ecde0e384dc3b126
uuid,kelektiv/node-uuid,1,0.9365171821421499,7.0.0-beta.0,522e44c055871493303ec0158dac75d7ce1eba5b
uuid,kelektiv/node-uuid,1,0.9365171821421499,7.0.0,63e5702d7629303a5193c4dd31825376f240f888
uuid,kelektiv/node-uuid,1,0.9365171821421499,7.0.1,3f78220564ff2abcb06cbf5ea173513a0e0cba43
uuid,kelektiv/node-uuid,1,0.9365171821421499,7.0.2,4b61be05c840ba4d6fadf89cc8d4e1bbba7b9b1a
uuid,kelektiv/node-uuid,1,0.9365171821421499,7.0.3,4fcd881246f102239fa386f958ec0e5f83b53bbe
uuid,kelektiv/node-uuid,1,0.9365171821421499,8.0.0-beta.0,99d65afdc42b98377842756c0743bc38dcb03570
uuid,kelektiv/node-uuid,1,0.9365171821421499,8.0.0,a7d3d517382490eda6dd21158e5413261c45ccdd
uuid,kelektiv/node-uuid,1,0.9365171821421499,8.1.0,4124ec75f032da7b405b870b68219cda8495297f
uuid,kelektiv/node-uuid,1,0.9365171821421499,8.2.0-beta.0,e5075c871ad571b7e08a300b855e5a308b021aef
uuid,kelektiv/node-uuid,1,0.9365171821421499,8.2.0,b51f172b22580dabd382861c1a6316173244f51b
uuid,kelektiv/node-uuid,1,0.9365171821421499,8.3.0-beta.0,d6c185161b80f277ff03fc151e0f4bfb848a4570
uuid,kelektiv/node-uuid,1,0.9365171821421499,8.3.0,a91f78d9e593b8a9af1cfebdf33b771b82c42475
uuid,kelektiv/node-uuid,1,0.9365171821421499,8.3.1,252ebcfb33b2d056963a530fc02067ae3de6095a
uuid,kelektiv/node-uuid,1,0.9365171821421499,8.3.2-beta.0,334ef62c330d92f8ca376d09087e8ee9abc5cc12
