repo__npm_pkg,repo__nameWithOwner,repo__hasTestScript,repo__npms_score,data__success_count,data__success_total_rate,data__success_run_rate,data__failure_count,data__failure_total_rate,data__failure_run_rate,data__pending_count,data__pending_total_rate,data__pending_run_rate
serialize-javascript,yahoo/serialize-javascript,1,0.8417660454174409,20,0.9523809523809523,1,0,0,0,1,0.047619047619047616,0.05
read-pkg,sindresorhus/read-pkg,1,0.8416478047462406,9,0.8181818181818182,0.9,1,0.09090909090909091,0.1,1,0.09090909090909091,0.1
ignore,kaelzhang/node-ignore,1,0.8416457666349196,56,0.7,0.7887323943661971,15,0.1875,0.2112676056338028,9,0.1125,0.1267605633802817
common-tags,declandewet/common-tags,1,0.8416297447235993,0,0,NaN,0,0,NaN,24,1,Infinity
signal-exit,tapjs/signal-exit,1,0.8413963800938801,6,0.42857142857142855,0.6666666666666666,3,0.21428571428571427,0.3333333333333333,5,0.35714285714285715,0.5555555555555556
strip-bom,sindresorhus/strip-bom,1,0.8410455322719641,9,1,1,0,0,0,0,0,0
mz,normalize/mz,1,0.8409205450203346,19,0.8636363636363636,1,0,0,0,3,0.13636363636363635,0.15789473684210525
filesize,avoidwork/filesize.js,1,0.8406325475524732,60,0.8,0.8955223880597015,7,0.09333333333333334,0.1044776119402985,8,0.10666666666666667,0.11940298507462686
globals,sindresorhus/globals,1,0.8403127097762253,80,0.9090909090909091,1,0,0,0,8,0.09090909090909091,0.1
fast-deep-equal,epoberezkin/fast-deep-equal,1,0.8401396490069653,13,0.9285714285714286,1,0,0,0,1,0.07142857142857142,0.07692307692307693
path-is-absolute,sindresorhus/path-is-absolute,1,0.8400817711034121,2,0.6666666666666666,1,0,0,0,1,0.3333333333333333,0.5
log-symbols,sindresorhus/log-symbols,1,0.8398943480577692,7,0.7777777777777778,1,0,0,0,2,0.2222222222222222,0.2857142857142857
asap,kriskowal/asap,1,0.8397744311633111,3,0.375,0.42857142857142855,4,0.5,0.5714285714285714,1,0.125,0.14285714285714285
resolve-from,sindresorhus/resolve-from,1,0.8393802434027469,6,1,1,0,0,0,0,0,0
load-json-file,sindresorhus/load-json-file,1,0.8386426671296272,13,1,1,0,0,0,0,0,0
helmet,helmetjs/helmet,1,0.8383586145005908,73,0.6636363636363637,1,0,0,0,37,0.33636363636363636,0.5068493150684932
is-number,jonschlinkert/is-number,1,0.838301355478934,9,0.6,0.8181818181818182,2,0.13333333333333333,0.18181818181818182,4,0.26666666666666666,0.36363636363636365
encodeurl,pillarjs/encodeurl,1,0.8382587192173514,3,1,1,0,0,0,0,0,0
loud-rejection,sindresorhus/loud-rejection,1,0.8382497513364475,11,1,1,0,0,0,0,0,0
split,dominictarr/split,1,0.8376894279296947,4,0.2,0.8,1,0.05,0.2,15,0.75,3
ipaddr.js,whitequark/ipaddr.js,1,0.8376830178502417,19,0.59375,1,0,0,0,13,0.40625,0.6842105263157895
destroy,stream-utils/destroy,1,0.8366440310299001,2,1,1,0,0,0,0,0,0
balanced-match,juliangruber/balanced-match,1,0.8362314337440808,9,0.9,0.9,1,0.1,0.1,0,0,0
indent-string,sindresorhus/indent-string,1,0.8361707354765451,15,1,1,0,0,0,0,0,0
parse-json,sindresorhus/parse-json,1,0.8359973036592869,6,0.6666666666666666,1,0,0,0,3,0.3333333333333333,0.5
pinkie-promise,floatdrop/pinkie-promise,1,0.8359689805697217,3,1,1,0,0,0,0,0,0
standard,standard/standard,1,0.8353502506165263,156,0.8914285714285715,0.9122807017543859,15,0.08571428571428572,0.08771929824561403,4,0.022857142857142857,0.023391812865497075
type-detect,chaijs/type-detect,1,0.8352369820179746,4,1,1,0,0,0,0,0,0
normalize-url,sindresorhus/normalize-url,1,0.8350814139185522,37,0.9487179487179487,0.9487179487179487,2,0.05128205128205128,0.05128205128205128,0,0,0
configstore,yeoman/configstore,1,0.8346100050000695,28,0.9333333333333333,0.9655172413793104,1,0.03333333333333333,0.034482758620689655,1,0.03333333333333333,0.034482758620689655
bignumber.js,MikeMcl/bignumber.js,1,0.8343887654808877,35,0.7,0.9459459459459459,2,0.04,0.05405405405405406,13,0.26,0.35135135135135137
repeat-string,jonschlinkert/repeat-string,1,0.8343120907147121,4,0.23529411764705882,0.8,1,0.058823529411764705,0.2,12,0.7058823529411765,2.4
decamelize,sindresorhus/decamelize,1,0.834173557502282,11,0.9166666666666666,1,0,0,0,1,0.08333333333333333,0.09090909090909091
eventsource,EventSource/eventsource,1,0.8340071081755283,19,0.6551724137931034,0.8260869565217391,4,0.13793103448275862,0.17391304347826086,6,0.20689655172413793,0.2608695652173913
hapi,hapijs/hapi,1,0.8337769558848689,184,0.6764705882352942,0.8558139534883721,31,0.11397058823529412,0.14418604651162792,57,0.20955882352941177,0.2651162790697674
set-value,jonschlinkert/set-value,1,0.8334379520599342,15,0.7894736842105263,1,0,0,0,4,0.21052631578947367,0.26666666666666666
globule,cowboy/node-globule,1,0.8334347235119424,7,0.7777777777777778,1,0,0,0,2,0.2222222222222222,0.2857142857142857
detect-indent,sindresorhus/detect-indent,1,0.8334217901561183,14,1,1,0,0,0,0,0,0
request-promise-native,request/request-promise-native,1,0.8332695171403143,9,0.8181818181818182,0.9,1,0.09090909090909091,0.1,1,0.09090909090909091,0.1
wrap-ansi,chalk/wrap-ansi,1,0.8332143219867353,14,0.9333333333333333,1,0,0,0,1,0.06666666666666667,0.07142857142857142
object.assign,ljharb/object.assign,1,0.8332106010636082,23,0.8518518518518519,0.92,2,0.07407407407407407,0.08,2,0.07407407407407407,0.08
postcss-flexbugs-fixes,luisrudge/postcss-flexbugs-fixes,1,0.8330588524101377,16,0.7619047619047619,0.9411764705882353,1,0.047619047619047616,0.058823529411764705,4,0.19047619047619047,0.23529411764705882
replace-ext,gulpjs/replace-ext,1,0.8330542253296975,2,0.5,0.5,2,0.5,0.5,0,0,0
is-stream,sindresorhus/is-stream,1,0.8329599972898234,4,1,1,0,0,0,0,0,0
fast-levenshtein,hiddentao/fast-levenshtein,1,0.8328903573903255,17,0.85,0.9444444444444444,1,0.05,0.05555555555555555,2,0.1,0.1111111111111111
define-property,jonschlinkert/define-property,1,0.832785457441476,2,0.16666666666666666,0.3333333333333333,4,0.3333333333333333,0.6666666666666666,6,0.5,1
has-flag,sindresorhus/has-flag,1,0.8325044798200278,4,1,1,0,0,0,0,0,0
normalize-path,jonschlinkert/normalize-path,1,0.8324707008306818,4,0.4,0.8,1,0.1,0.2,5,0.5,1
sha.js,crypto-browserify/sha.js,1,0.8323363307369096,29,0.7435897435897436,0.90625,3,0.07692307692307693,0.09375,7,0.1794871794871795,0.21875
is-promise,then/is-promise,1,0.8322274795825788,5,0.7142857142857143,0.8333333333333334,1,0.14285714285714285,0.16666666666666666,1,0.14285714285714285,0.16666666666666666
regenerate,mathiasbynens/regenerate,1,0.8322009367578123,14,0.5384615384615384,1,0,0,0,12,0.46153846153846156,0.8571428571428571
compressible,jshttp/compressible,1,0.8321692943824106,25,0.9615384615384616,1,0,0,0,1,0.038461538461538464,0.04
loose-envify,zertosh/loose-envify,1,0.8320741343655997,6,1,1,0,0,0,0,0,0
get-stream,sindresorhus/get-stream,1,0.8319721360986692,12,0.8,0.9230769230769231,1,0.06666666666666667,0.07692307692307693,2,0.13333333333333333,0.15384615384615385
object-keys,ljharb/object-keys,1,0.8318242952054489,29,0.90625,1,0,0,0,3,0.09375,0.10344827586206896
cryptiles,hapijs/cryptiles,1,0.8315093789693051,26,0.8666666666666667,0.896551724137931,3,0.1,0.10344827586206896,1,0.03333333333333333,0.034482758620689655
glob-parent,es128/glob-parent,1,0.8311162623128987,1,0.07692307692307693,1,0,0,0,12,0.9230769230769231,12
y18n,yargs/y18n,1,0.8306998700426496,7,0.5,1,0,0,0,7,0.5,1
get-value,jonschlinkert/get-value,1,0.8303916325664118,18,0.6,1,0,0,0,12,0.4,0.6666666666666666
brace-expansion,juliangruber/brace-expansion,1,0.8300000509069272,9,0.5294117647058824,0.8181818181818182,2,0.11764705882352941,0.18181818181818182,6,0.35294117647058826,0.5454545454545454
object.omit,jonschlinkert/object.omit,1,0.8299344509691491,2,0.4,0.6666666666666666,1,0.2,0.3333333333333333,2,0.4,0.6666666666666666
pretty-bytes,sindresorhus/pretty-bytes,1,0.8294882635473921,19,0.8260869565217391,1,0,0,0,4,0.17391304347826086,0.21052631578947367
update-notifier,yeoman/update-notifier,1,0.82945158493458,34,0.85,0.9714285714285714,1,0.025,0.02857142857142857,5,0.125,0.14285714285714285
merge-stream,grncdr/merge-stream,1,0.829387955364652,10,0.7692307692307693,1,0,0,0,3,0.23076923076923078,0.3
is-plain-object,jonschlinkert/is-plain-object,1,0.8292951246226465,5,0.38461538461538464,0.7142857142857143,2,0.15384615384615385,0.2857142857142857,6,0.46153846153846156,0.8571428571428571
app-root-path,inxilpro/node-app-root-path,1,0.8292395501754759,6,0.46153846153846156,0.6666666666666666,3,0.23076923076923078,0.3333333333333333,4,0.3076923076923077,0.4444444444444444
mem,sindresorhus/mem,1,0.828734549118842,15,0.75,0.9375,1,0.05,0.0625,4,0.2,0.25
find-cache-dir,avajs/find-cache-dir,1,0.8285916383301872,8,0.8,0.8888888888888888,1,0.1,0.1111111111111111,1,0.1,0.1111111111111111
yauzl,thejoshwolfe/yauzl,1,0.8283082002191504,15,0.6,0.9375,1,0.04,0.0625,9,0.36,0.5625
ansi-escapes,sindresorhus/ansi-escapes,1,0.8282480722621538,16,0.8888888888888888,0.9411764705882353,1,0.05555555555555555,0.058823529411764705,1,0.05555555555555555,0.058823529411764705
postcss-load-config,michael-ciniawsky/postcss-load-config,1,0.8282402527054875,12,0.8,0.9230769230769231,1,0.06666666666666667,0.07692307692307693,2,0.13333333333333333,0.15384615384615385
findup-sync,js-cli/node-findup-sync,1,0.8280415027198471,3,0.2,1,0,0,0,12,0.8,4
boxen,sindresorhus/boxen,1,0.8277126018793775,25,0.9615384615384616,1,0,0,0,1,0.038461538461538464,0.04
arr-diff,jonschlinkert/arr-diff,1,0.8274143536438594,2,0.25,1,0,0,0,6,0.75,3
to-fast-properties,sindresorhus/to-fast-properties,1,0.8273107421578458,7,1,1,0,0,0,0,0,0
har-validator,ahmadnassri/har-validator,1,0.8271541618594669,24,0.9230769230769231,1,0,0,0,2,0.07692307692307693,0.08333333333333333
unpipe,stream-utils/unpipe,1,0.8269011751306643,1,1,1,0,0,0,0,0,0
path-type,sindresorhus/path-type,1,0.826803579293294,5,0.8333333333333334,1,0,0,0,1,0.16666666666666666,0.2
os-tmpdir,sindresorhus/os-tmpdir,1,0.8266339138357542,3,1,1,0,0,0,0,0,0
is-extendable,jonschlinkert/is-extendable,1,0.8264726155342044,2,0.5,1,0,0,0,2,0.5,1
array-uniq,sindresorhus/array-uniq,1,0.8264287449828526,8,1,1,0,0,0,0,0,0
postcss-calc,postcss/postcss-calc,1,0.8261338035415859,23,0.9583333333333334,1,0,0,0,1,0.041666666666666664,0.043478260869565216
postcss-value-parser,TrySound/postcss-value-parser,1,0.8259351770379221,32,0.9142857142857143,0.9696969696969697,1,0.02857142857142857,0.030303030303030304,2,0.05714285714285714,0.06060606060606061
should,shouldjs/should.js,1,0.825932696220315,65,0.5701754385964912,0.9154929577464789,6,0.05263157894736842,0.08450704225352113,43,0.37719298245614036,0.6056338028169014
