repo__npm_pkg,repo__nameWithOwner,repo__hasTestScript,repo__npms_score,data__success_count,data__success_total_rate,data__success_run_rate,data__failure_count,data__failure_total_rate,data__failure_run_rate,data__pending_count,data__pending_total_rate,data__pending_run_rate
caniuse-api,Nyalab/caniuse-api,1,0.8176361990113358,16,0.8888888888888888,0.9411764705882353,1,0.05555555555555555,0.058823529411764705,1,0.05555555555555555,0.058823529411764705
deep-eql,chaijs/deep-eql,1,0.8170523777930898,4,1,1,0,0,0,0,0,0
package-json,sindresorhus/package-json,1,0.8170193484658661,28,1,1,0,0,0,0,0,0
big.js,MikeMcl/big.js,1,0.8168238729484457,4,0.13793103448275862,1,0,0,0,25,0.8620689655172413,6.25
arr-flatten,jonschlinkert/arr-flatten,1,0.8168154696889066,2,0.25,0.5,2,0.25,0.5,4,0.5,1
builtin-modules,sindresorhus/builtin-modules,1,0.8163941072940202,7,0.875,1,0,0,0,1,0.125,0.14285714285714285
cssesc,mathiasbynens/cssesc,1,0.8163874787025291,4,0.8,1,0,0,0,1,0.2,0.25
log-update,sindresorhus/log-update,1,0.8162632939601886,14,1,1,0,0,0,0,0,0
array-includes,ljharb/array-includes,1,0.8156124412209622,0,0,NaN,0,0,NaN,17,1,Infinity
cli-width,knownasilya/cli-width,1,0.8149928328646956,5,0.5,1,0,0,0,5,0.5,1
internal-ip,sindresorhus/internal-ip,1,0.814983321406546,16,0.8888888888888888,1,0,0,0,2,0.1111111111111111,0.125
multipipe,juliangruber/multipipe,1,0.814795710520291,13,0.6842105263157895,0.8666666666666667,2,0.10526315789473684,0.13333333333333333,4,0.21052631578947367,0.26666666666666666
circular-json,WebReflection/circular-json,1,0.8147377467330853,19,0.8636363636363636,0.9047619047619048,2,0.09090909090909091,0.09523809523809523,1,0.045454545454545456,0.047619047619047616
shallowequal,dashed/shallowequal,1,0.8147064199412934,5,0.625,1,0,0,0,3,0.375,0.6
neo-async,suguru03/neo-async,1,0.8145871206079004,65,0.8783783783783784,0.9701492537313433,2,0.02702702702702703,0.029850746268656716,7,0.0945945945945946,0.1044776119402985
p-finally,sindresorhus/p-finally,1,0.8144915754502522,3,1,1,0,0,0,0,0,0
micro,zeit/micro,1,0.8144854712531976,39,0.975,1,0,0,0,1,0.025,0.02564102564102564
onetime,sindresorhus/onetime,1,0.8142980824140118,10,0.8333333333333334,1,0,0,0,2,0.16666666666666666,0.2
create-hmac,crypto-browserify/createHmac,1,0.8142747506747317,8,0.7272727272727273,0.8888888888888888,1,0.09090909090909091,0.1111111111111111,2,0.18181818181818182,0.2222222222222222
run-async,SBoudrias/run-async,1,0.8140655350736502,6,0.75,0.8571428571428571,1,0.125,0.14285714285714285,1,0.125,0.14285714285714285
arr-union,jonschlinkert/arr-union,1,0.8139473488129987,1,0.16666666666666666,1,0,0,0,5,0.8333333333333334,5
code-point-at,sindresorhus/code-point-at,1,0.8137216916096752,3,1,1,0,0,0,0,0,0
require-from-string,floatdrop/require-from-string,1,0.8136692114012691,9,1,1,0,0,0,0,0,0
source-list-map,webpack/source-list-map,1,0.8136158866788787,12,0.75,0.8,3,0.1875,0.2,1,0.0625,0.06666666666666667
pump,mafintosh/pump,1,0.8135856706592284,11,0.44,1,0,0,0,14,0.56,1.2727272727272727
npm-run-path,sindresorhus/npm-run-path,1,0.8135504179562436,8,1,1,0,0,0,0,0,0
define-properties,ljharb/define-properties,1,0.8133086996029164,6,0.8571428571428571,1,0,0,0,1,0.14285714285714285,0.16666666666666666
for-in,jonschlinkert/for-in,1,0.8131610077689617,4,0.4,0.5714285714285714,3,0.3,0.42857142857142855,3,0.3,0.42857142857142855
number-is-nan,sindresorhus/number-is-nan,1,0.813148545127651,2,0.6666666666666666,1,0,0,0,1,0.3333333333333333,0.5
align-text,jonschlinkert/align-text,1,0.8130709792292035,4,0.5714285714285714,0.8,1,0.14285714285714285,0.2,2,0.2857142857142857,0.4
stream-browserify,substack/stream-browserify,1,0.8125127198220508,7,0.5,0.875,1,0.07142857142857142,0.125,6,0.42857142857142855,0.75
hosted-git-info,npm/hosted-git-info,1,0.8123607186853714,25,0.5319148936170213,0.9259259259259259,2,0.0425531914893617,0.07407407407407407,20,0.425531914893617,0.7407407407407407
jsonpointer,janl/node-jsonpointer,1,0.81233817365021,5,0.7142857142857143,1,0,0,0,2,0.2857142857142857,0.4
i18next,i18next/i18next,1,0.8122192818743452,189,0.7590361445783133,0.8915094339622641,23,0.09236947791164658,0.10849056603773585,37,0.14859437751004015,0.17452830188679244
ripemd160,crypto-browserify/ripemd160,1,0.8120518554887146,3,0.375,0.75,1,0.125,0.25,4,0.5,1
immutability-helper,kolodny/immutability-helper,1,0.8119827188781985,28,0.9333333333333333,0.9333333333333333,2,0.06666666666666667,0.06666666666666667,0,0,0
fast-json-stable-stringify,epoberezkin/fast-json-stable-stringify,1,0.8118446810205555,2,0.6666666666666666,1,0,0,0,1,0.3333333333333333,0.5
mimic-fn,sindresorhus/mimic-fn,1,0.8118106714378219,6,0.8571428571428571,1,0,0,0,1,0.14285714285714285,0.16666666666666666
prepend-http,sindresorhus/prepend-http,1,0.8117979466113165,8,1,1,0,0,0,0,0,0
d,medikoo/d,1,0.811743278208767,1,0.25,0.3333333333333333,2,0.5,0.6666666666666666,1,0.25,0.3333333333333333
reduce-css-calc,MoOx/reduce-css-calc,1,0.811737485513261,28,0.9032258064516129,0.9655172413793104,1,0.03225806451612903,0.034482758620689655,2,0.06451612903225806,0.06896551724137931
is-fullwidth-code-point,sindresorhus/is-fullwidth-code-point,1,0.8115107282742802,3,1,1,0,0,0,0,0,0
fancy-log,js-cli/fancy-log,1,0.8114996458340383,2,0.2857142857142857,1,0,0,0,5,0.7142857142857143,2.5
eslint-config-prettier,prettier/eslint-config-prettier,1,0.811358685578444,50,0.8928571428571429,1,0,0,0,6,0.10714285714285714,0.12
koa-compose,koajs/compose,1,0.8112286434113574,11,0.8461538461538461,1,0,0,0,2,0.15384615384615385,0.18181818181818182
har-schema,ahmadnassri/har-schema,1,0.8111368134766177,0,0,NaN,0,0,NaN,2,1,Infinity
extglob,micromatch/extglob,1,0.8110510837589004,5,0.4166666666666667,0.5555555555555556,4,0.3333333333333333,0.4444444444444444,3,0.25,0.3333333333333333
gulp-if,robrich/gulp-if,1,0.811044475025845,9,0.6,0.75,3,0.2,0.25,3,0.2,0.25
set-immediate-shim,sindresorhus/set-immediate-shim,1,0.8108366856551787,3,1,1,0,0,0,0,0,0
p-locate,sindresorhus/p-locate,1,0.81058687695405,5,0.8333333333333334,1,0,0,0,1,0.16666666666666666,0.2
pumpify,mafintosh/pumpify,1,0.8104772990229583,19,0.8636363636363636,0.9047619047619048,2,0.09090909090909091,0.09523809523809523,1,0.045454545454545456,0.047619047619047616
uid-safe,crypto-utils/uid-safe,1,0.8104389525058223,10,0.8333333333333334,1,0,0,0,2,0.16666666666666666,0.2
split-string,jonschlinkert/split-string,1,0.8104182987546276,14,0.7368421052631579,0.8235294117647058,3,0.15789473684210525,0.17647058823529413,2,0.10526315789473684,0.11764705882352941
function-bind,Raynos/function-bind,1,0.810269562866794,0,0,NaN,0,0,NaN,5,1,Infinity
locate-path,sindresorhus/locate-path,1,0.8101579748257783,6,0.8571428571428571,1,0,0,0,1,0.14285714285714285,0.16666666666666666
remove-trailing-separator,darsain/remove-trailing-separator,1,0.8098901570374928,2,0.5,0.5,2,0.5,0.5,0,0,0
expand-tilde,jonschlinkert/expand-tilde,1,0.8097407436422467,3,0.3333333333333333,0.6,2,0.2222222222222222,0.4,4,0.4444444444444444,0.8
write,jonschlinkert/write,1,0.8094379887649376,7,0.5833333333333334,0.7777777777777778,2,0.16666666666666666,0.2222222222222222,3,0.25,0.3333333333333333
is-resolvable,shinnn/is-resolvable,1,0.8094290126464795,4,1,1,0,0,0,0,0,0
require-main-filename,yargs/require-main-filename,1,0.8094208311899698,2,0.6666666666666666,0.6666666666666666,1,0.3333333333333333,0.3333333333333333,0,0,0
create-hash,crypto-browserify/createHash,1,0.8093404317130142,5,0.625,1,0,0,0,3,0.375,0.6
plugin-error,gulpjs/plugin-error,1,0.8093114539087152,2,0.4,0.5,2,0.4,0.5,1,0.2,0.25
multicast-dns,mafintosh/multicast-dns,1,0.8089623235088417,36,0.9473684210526315,1,0,0,0,2,0.05263157894736842,0.05555555555555555
trim-newlines,sindresorhus/trim-newlines,1,0.8088937667628361,3,1,1,0,0,0,0,0,0
strip-eof,sindresorhus/strip-eof,1,0.8087886456800685,2,1,1,0,0,0,0,0,0
string-template,Matt-Esch/string-template,1,0.8085149156493627,4,0.6666666666666666,0.8,1,0.16666666666666666,0.2,1,0.16666666666666666,0.2
regexpu-core,mathiasbynens/regexpu-core,1,0.8083998855021629,31,0.8378378378378378,0.8378378378378378,6,0.16216216216216217,0.16216216216216217,0,0,0
is-ci,watson/is-ci,1,0.8081700128764429,14,0.875,0.9333333333333333,1,0.0625,0.06666666666666667,1,0.0625,0.06666666666666667
trim-right,sindresorhus/trim-right,1,0.8081304860296226,2,1,1,0,0,0,0,0,0
multimatch,sindresorhus/multimatch,1,0.808127494471689,3,0.3,0.75,1,0.1,0.25,6,0.6,1.5
slice-ansi,chalk/slice-ansi,1,0.8080030472241866,7,0.7777777777777778,1,0,0,0,2,0.2222222222222222,0.2857142857142857
run-sequence,OverZealous/run-sequence,1,0.8079797969365357,21,0.9130434782608695,0.9545454545454546,1,0.043478260869565216,0.045454545454545456,1,0.043478260869565216,0.045454545454545456
fill-range,jonschlinkert/fill-range,1,0.8078222282195515,10,0.3333333333333333,0.8333333333333334,2,0.06666666666666667,0.16666666666666666,18,0.6,1.5
lie,calvinmetcalf/lie,1,0.8077962995723593,17,0.3617021276595745,1,0,0,0,30,0.6382978723404256,1.7647058823529411
from2,hughsk/from2,1,0.8077025557593926,5,0.3333333333333333,0.625,3,0.2,0.375,7,0.4666666666666667,0.875
cacache,zkat/cacache,1,0.8073218802155611,28,0.5283018867924528,0.5490196078431373,23,0.4339622641509434,0.45098039215686275,2,0.03773584905660377,0.0392156862745098
postcss-scss,postcss/postcss-scss,1,0.807263199850847,30,0.9375,0.967741935483871,1,0.03125,0.03225806451612903,1,0.03125,0.03225806451612903
is-obj,sindresorhus/is-obj,1,0.8072005837203375,3,1,1,0,0,0,0,0,0
gulp-eslint,adametry/gulp-eslint,1,0.8071846592126468,45,0.9,0.9375,3,0.06,0.0625,2,0.04,0.041666666666666664
es6-iterator,medikoo/es6-iterator,1,0.80711521403272,5,0.5,0.5555555555555556,4,0.4,0.4444444444444444,1,0.1,0.1111111111111111
any-promise,kevinbeaty/any-promise,1,0.8070243303780363,7,0.875,0.875,1,0.125,0.125,0,0,0
es6-weak-map,medikoo/es6-weak-map,1,0.8070156665930226,10,0.7692307692307693,0.9090909090909091,1,0.07692307692307693,0.09090909090909091,2,0.15384615384615385,0.18181818181818182
wordwrap,substack/node-wordwrap,1,0.8067586277006451,0,0,NaN,0,0,NaN,4,1,Infinity
archy,substack/node-archy,1,0.8067498973482002,1,0.25,1,0,0,0,3,0.75,3
postcss-url,postcss/postcss-url,1,0.8066913915068135,49,0.9423076923076923,0.9423076923076923,3,0.057692307692307696,0.057692307692307696,0,0,0
keycode,timoxley/keycode,1,0.8065916663679653,11,0.6875,0.7857142857142857,3,0.1875,0.21428571428571427,2,0.125,0.14285714285714285
is-regex,ljharb/is-regex,1,0.8065430638962208,6,0.6,1,0,0,0,4,0.4,0.6666666666666666
is-svg,sindresorhus/is-svg,1,0.8065148185940698,16,0.8421052631578947,1,0,0,0,3,0.15789473684210525,0.1875
meow,sindresorhus/meow,1,0.806477189993699,17,0.68,1,0,0,0,8,0.32,0.47058823529411764
console-browserify,Raynos/console-browserify,1,0.8064123078023715,5,0.4166666666666667,0.8333333333333334,1,0.08333333333333333,0.16666666666666666,6,0.5,1
upath,anodynos/upath,1,0.8064086762987948,15,0.75,0.7894736842105263,4,0.2,0.21052631578947367,1,0.05,0.05263157894736842
is-primitive,jonschlinkert/is-primitive,1,0.8063556143725756,1,0.2,0.3333333333333333,2,0.4,0.6666666666666666,2,0.4,0.6666666666666666
hash-base,crypto-browserify/hash-base,1,0.8062896131598033,10,0.8333333333333334,1,0,0,0,2,0.16666666666666666,0.2
enzyme-to-json,adriantoine/enzyme-to-json,1,0.8062031499883311,28,0.8235294117647058,0.9333333333333333,2,0.058823529411764705,0.06666666666666667,4,0.11764705882352941,0.13333333333333333
is-descriptor,jonschlinkert/is-descriptor,1,0.8061592767464264,7,0.7,1,0,0,0,3,0.3,0.42857142857142855
num2fraction,yisibl/num2fraction,1,0.8061297557267866,5,0.8333333333333334,1,0,0,0,1,0.16666666666666666,0.2
regex-not,jonschlinkert/regex-not,1,0.8061063311978294,4,0.6666666666666666,0.8,1,0.16666666666666666,0.2,1,0.16666666666666666,0.2
latest-version,sindresorhus/latest-version,1,0.8058666971738988,12,1,1,0,0,0,0,0,0
merge,yeikos/js.merge,1,0.8056644018975757,0,0,NaN,0,0,NaN,9,1,Infinity
is-callable,ljharb/is-callable,1,0.8056599586717805,9,0.6428571428571429,1,0,0,0,5,0.35714285714285715,0.5555555555555556
xdg-basedir,sindresorhus/xdg-basedir,1,0.8054302727960103,5,1,1,0,0,0,0,0,0
collection-visit,jonschlinkert/collection-visit,1,0.8053964803674116,2,0.3333333333333333,1,0,0,0,4,0.6666666666666666,2
browserify-aes,crypto-browserify/browserify-aes,1,0.8053284665661173,26,0.9629629629629629,1,0,0,0,1,0.037037037037037035,0.038461538461538464
tapable,webpack/tapable,1,0.8053036245112992,23,0.5,0.7419354838709677,8,0.17391304347826086,0.25806451612903225,15,0.32608695652173914,0.4838709677419355
path-parse,jbgutierrez/path-parse,1,0.8051519054748013,4,0.5714285714285714,0.8,1,0.14285714285714285,0.2,2,0.2857142857142857,0.4
get-caller-file,stefanpenner/get-caller-file,1,0.8050419473111028,8,0.8,0.8888888888888888,1,0.1,0.1111111111111111,1,0.1,0.1111111111111111
string-length,sindresorhus/string-length,1,0.8049331999660533,10,0.9090909090909091,1,0,0,0,1,0.09090909090909091,0.1
decompress,kevva/decompress,1,0.8048541522347903,30,0.7692307692307693,0.8333333333333334,6,0.15384615384615385,0.16666666666666666,3,0.07692307692307693,0.08333333333333333
method-override,expressjs/method-override,1,0.804830363746147,22,0.9565217391304348,1,0,0,0,1,0.043478260869565216,0.045454545454545456
onecolor,One-com/one-color,1,0.804613605374334,7,0.20588235294117646,1,0,0,0,27,0.7941176470588235,3.857142857142857
eslint-plugin-prettier,prettier/eslint-plugin-prettier,1,0.8044667400729915,20,0.8,0.9090909090909091,2,0.08,0.09090909090909091,3,0.12,0.13636363636363635
url-parse-lax,sindresorhus/url-parse-lax,1,0.8043254664316917,4,1,1,0,0,0,0,0,0
lcid,sindresorhus/lcid,1,0.804306946846159,5,1,1,0,0,0,0,0,0
jsx-ast-utils,evcohen/jsx-ast-utils,1,0.8042492115270284,23,0.8518518518518519,0.9583333333333334,1,0.037037037037037035,0.041666666666666664,3,0.1111111111111111,0.125
eslint-plugin-promise,xjamundx/eslint-plugin-promise,1,0.8042439082681969,20,0.6451612903225806,1,0,0,0,11,0.3548387096774194,0.55
unset-value,jonschlinkert/unset-value,1,0.804157225992853,4,0.8,1,0,0,0,1,0.2,0.25
is-absolute,jonschlinkert/is-absolute,1,0.80415167173705,8,0.6153846153846154,0.8888888888888888,1,0.07692307692307693,0.1111111111111111,4,0.3076923076923077,0.4444444444444444
object.values,es-shims/Object.values,1,0.8040836344435804,8,0.8888888888888888,1,0,0,0,1,0.1111111111111111,0.125
big-integer,peterolson/BigInteger.js,1,0.8038898106414745,46,0.5,0.8679245283018868,7,0.07608695652173914,0.1320754716981132,39,0.42391304347826086,0.7358490566037735
espree,eslint/espree,1,0.8038672252121799,68,0.9066666666666666,0.9855072463768116,1,0.013333333333333334,0.014492753623188406,6,0.08,0.08695652173913043
callsites,sindresorhus/callsites,1,0.803832504299452,7,1,1,0,0,0,0,0,0
prr,rvagg/prr,1,0.8037424230048716,2,0.6666666666666666,1,0,0,0,1,0.3333333333333333,0.5
flux-standard-action,acdlite/flux-standard-action,1,0.8037114236632985,13,0.7647058823529411,0.8125,3,0.17647058823529413,0.1875,1,0.058823529411764705,0.0625
abbrev,isaacs/abbrev-js,1,0.8036979964843732,0,0,0,6,0.75,1,2,0.25,0.3333333333333333
is-symbol,ljharb/is-symbol,1,0.803642267235624,2,0.5,1,0,0,0,2,0.5,1
inflight,npm/inflight,1,0.8035906301549514,1,0.14285714285714285,0.5,1,0.14285714285714285,0.5,5,0.7142857142857143,2.5
wrappy,npm/wrappy,1,0.8035023040555354,1,0.25,1,0,0,0,3,0.75,3
schema-utils,webpack-contrib/schema-utils,1,0.8034482024918856,23,0.7666666666666667,0.8846153846153846,3,0.1,0.11538461538461539,4,0.13333333333333333,0.15384615384615385
ent,substack/node-ent,1,0.8033429406750077,7,0.5384615384615384,1,0,0,0,6,0.46153846153846156,0.8571428571428571
thunky,mafintosh/thunky,1,0.803093582441547,3,0.5,0.6,2,0.3333333333333333,0.4,1,0.16666666666666666,0.2
ember-cli-htmlbars,ember-cli/ember-cli-htmlbars,1,0.8030737463541295,53,0.5520833333333334,0.8833333333333333,7,0.07291666666666667,0.11666666666666667,36,0.375,0.6
tildify,sindresorhus/tildify,1,0.8028757374737757,6,0.75,0.75,2,0.25,0.25,0,0,0
is-absolute-url,sindresorhus/is-absolute-url,1,0.8028133217200435,8,1,1,0,0,0,0,0,0
browserify-sign,crypto-browserify/browserify-sign,1,0.8027772061536422,27,0.9,0.9310344827586207,2,0.06666666666666667,0.06896551724137931,1,0.03333333333333333,0.034482758620689655
is-date-object,ljharb/is-date-object,1,0.8027712470554029,2,0.6666666666666666,1,0,0,0,1,0.3333333333333333,0.5
cli-color,medikoo/cli-color,1,0.8025894296025329,11,0.5,0.7857142857142857,3,0.13636363636363635,0.21428571428571427,8,0.36363636363636365,0.5714285714285714
filename-regex,regexhq/filename-regex,1,0.8025146790385976,0,0,0,1,0.25,1,3,0.75,3
file-entry-cache,royriojas/file-entry-cache,1,0.802474191909033,10,0.7142857142857143,0.9090909090909091,1,0.07142857142857142,0.09090909090909091,3,0.21428571428571427,0.2727272727272727
requires-port,unshiftio/requires-port,1,0.8024513070998484,2,0.6666666666666666,1,0,0,0,1,0.3333333333333333,0.5
create-error-class,floatdrop/create-error-class,1,0.8024500426211341,6,1,1,0,0,0,0,0,0
braces,micromatch/braces,1,0.802346881318529,18,0.5142857142857142,0.8571428571428571,3,0.08571428571428572,0.14285714285714285,14,0.4,0.6666666666666666
has-values,jonschlinkert/has-values,1,0.8022698680765329,5,0.7142857142857143,1,0,0,0,2,0.2857142857142857,0.4
has-ansi,chalk/has-ansi,1,0.8022491463428656,8,0.8888888888888888,1,0,0,0,1,0.1111111111111111,0.125
buffer-xor,crypto-browserify/buffer-xor,1,0.8022236331097329,4,0.5714285714285714,1,0,0,0,3,0.42857142857142855,0.75
array-find-index,sindresorhus/array-find-index,1,0.8021761670085953,3,1,1,0,0,0,0,0,0
array-union,sindresorhus/array-union,1,0.8021204252363245,6,0.75,1,0,0,0,2,0.25,0.3333333333333333
global-modules,jonschlinkert/global-modules,1,0.802061245984867,2,0.2857142857142857,0.3333333333333333,4,0.5714285714285714,0.6666666666666666,1,0.14285714285714285,0.16666666666666666
tar-fs,mafintosh/tar-fs,1,0.8020319539186356,50,0.9090909090909091,0.9433962264150944,3,0.05454545454545454,0.05660377358490566,2,0.03636363636363636,0.03773584905660377
center-align,jonschlinkert/center-align,1,0.8019683140339364,4,0.6666666666666666,1,0,0,0,2,0.3333333333333333,0.5
array-slice,jonschlinkert/array-slice,1,0.8019634477339455,2,0.3333333333333333,0.6666666666666666,1,0.16666666666666666,0.3333333333333333,3,0.5,1
resolve-dir,jonschlinkert/resolve-dir,1,0.8018803860737935,3,0.75,0.75,1,0.25,0.25,0,0,0
fs-readdir-recursive,fs-utils/fs-readdir-recursive,1,0.8018479591498522,6,0.8571428571428571,1,0,0,0,1,0.14285714285714285,0.16666666666666666
agentkeepalive,node-modules/agentkeepalive,1,0.801632872351385,26,0.6341463414634146,0.7647058823529411,8,0.1951219512195122,0.23529411764705882,7,0.17073170731707318,0.20588235294117646
postcss-custom-properties,postcss/postcss-custom-properties,1,0.8014501889064672,47,0.9791666666666666,0.9791666666666666,1,0.020833333333333332,0.020833333333333332,0,0,0
registry-auth-token,rexxars/registry-auth-token,1,0.8012933097834523,21,1,1,0,0,0,0,0,0
toposort,marcelklehr/toposort,1,0.8009597334107375,12,0.5454545454545454,0.75,4,0.18181818181818182,0.25,6,0.2727272727272727,0.375
global-prefix,jonschlinkert/global-prefix,1,0.8009302098282693,4,0.4,0.4444444444444444,5,0.5,0.5555555555555556,1,0.1,0.1111111111111111
diffie-hellman,crypto-browserify/diffie-hellman,1,0.8009118393584541,16,0.7619047619047619,0.9411764705882353,1,0.047619047619047616,0.058823529411764705,4,0.19047619047619047,0.23529411764705882
symbol-tree,jsdom/js-symbol-tree,1,0.8007951923662209,5,0.2777777777777778,1,0,0,0,13,0.7222222222222222,2.6
map-visit,jonschlinkert/map-visit,1,0.8006244314977347,4,0.6666666666666666,1,0,0,0,2,0.3333333333333333,0.5
next-tick,medikoo/next-tick,1,0.8003653600813309,4,0.6666666666666666,1,0,0,0,2,0.3333333333333333,0.5
warning,BerkeleyTrue/warning,1,0.8003068339937269,2,0.2,0.6666666666666666,1,0.1,0.3333333333333333,7,0.7,2.3333333333333335
pretty-hrtime,robrich/pretty-hrtime,1,0.8002495268568575,6,0.8571428571428571,0.8571428571428571,1,0.14285714285714285,0.14285714285714285,0,0,0
registry-url,sindresorhus/registry-url,1,0.8001907569561009,13,1,1,0,0,0,0,0,0
path-key,sindresorhus/path-key,1,0.8000817073649154,6,1,1,0,0,0,0,0,0
clone-deep,jonschlinkert/clone-deep,1,0.7999440791260872,10,0.6666666666666666,0.7142857142857143,4,0.26666666666666666,0.2857142857142857,1,0.06666666666666667,0.07142857142857142
cipher-base,crypto-browserify/cipher-base,1,0.7999436486490273,2,0.4,1,0,0,0,3,0.6,1.5
postcss-reporter,postcss/postcss-reporter,1,0.7998759734161701,19,0.7916666666666666,0.8260869565217391,4,0.16666666666666666,0.17391304347826086,1,0.041666666666666664,0.043478260869565216
object-visit,jonschlinkert/object-visit,1,0.7995424479421922,6,0.6,0.75,2,0.2,0.25,2,0.2,0.25
generate-function,mafintosh/generate-function,1,0.7995357800236149,10,0.9090909090909091,1,0,0,0,1,0.09090909090909091,0.1
shebang-regex,sindresorhus/shebang-regex,1,0.7994760187868313,3,1,1,0,0,0,0,0,0
parcel-bundler,parcel-bundler/parcel,1,0.7994553312227508,0,NaN,NaN,0,NaN,NaN,0,NaN,NaN
parse-filepath,jonschlinkert/parse-filepath,1,0.7994060368923874,1,0.06666666666666667,0.3333333333333333,2,0.13333333333333333,0.6666666666666666,12,0.8,4
p-try,sindresorhus/p-try,1,0.7992795188398643,4,1,1,0,0,0,0,0,0
acorn-globals,ForbesLindesay/acorn-globals,1,0.7991199512108128,18,0.8181818181818182,0.8181818181818182,4,0.18181818181818182,0.18181818181818182,0,0,0
iterall,leebyron/iterall,1,0.799058777083792,12,0.9230769230769231,0.9230769230769231,1,0.07692307692307693,0.07692307692307693,0,0,0
caller-path,sindresorhus/caller-path,1,0.7990388675814764,4,1,1,0,0,0,0,0,0
term-size,sindresorhus/term-size,1,0.7989443174126976,9,0.9,1,0,0,0,1,0.1,0.1111111111111111
randexp,fent/randexp.js,1,0.7989406859258662,4,0.23529411764705882,1,0,0,0,13,0.7647058823529411,3.25
unist-util-visit,syntax-tree/unist-util-visit,1,0.7987551452497414,15,1,1,0,0,0,0,0,0
postcss-message-helpers,MoOx/postcss-message-helpers,1,0.7987315385695142,3,0.75,1,0,0,0,1,0.25,0.3333333333333333
nanomatch,micromatch/nanomatch,1,0.7986347758368046,11,0.4074074074074074,0.4230769230769231,15,0.5555555555555556,0.5769230769230769,1,0.037037037037037035,0.038461538461538464
is-retry-allowed,floatdrop/is-retry-allowed,1,0.7985575926871846,2,0.3333333333333333,0.6666666666666666,1,0.16666666666666666,0.3333333333333333,3,0.5,1
postcss-load-plugins,michael-ciniawsky/postcss-load-plugins,1,0.798543008050828,6,0.5454545454545454,0.75,2,0.18181818181818182,0.25,3,0.2727272727272727,0.375
is-builtin-module,sindresorhus/is-builtin-module,1,0.7982964254896266,3,1,1,0,0,0,0,0,0
cache-base,jonschlinkert/cache-base,1,0.7980077173873308,13,0.5909090909090909,0.8125,3,0.13636363636363635,0.1875,6,0.2727272727272727,0.375
is-accessor-descriptor,jonschlinkert/is-accessor-descriptor,1,0.7979598684206715,5,0.5,0.7142857142857143,2,0.2,0.2857142857142857,3,0.3,0.42857142857142855
magic-string,Rich-Harris/magic-string,1,0.7976763596272953,45,0.5,0.9183673469387755,4,0.044444444444444446,0.08163265306122448,41,0.45555555555555555,0.8367346938775511
fsevents,strongloop/fsevents,1,0.7974875006544282,26,0.48148148148148145,0.7878787878787878,7,0.12962962962962962,0.21212121212121213,21,0.3888888888888889,0.6363636363636364
immutable,facebook/immutable-js,1,0.797469146804821,32,0.47761194029850745,0.9696969696969697,1,0.014925373134328358,0.030303030303030304,34,0.5074626865671642,1.0303030303030303
shebang-command,kevva/shebang-command,1,0.7974443211265778,4,1,1,0,0,0,0,0,0
is-binary-path,sindresorhus/is-binary-path,1,0.797376930225716,4,0.8,0.8,1,0.2,0.2,0,0,0
ssri,zkat/ssri,1,0.79726633755527,17,0.7391304347826086,0.8095238095238095,4,0.17391304347826086,0.19047619047619047,2,0.08695652173913043,0.09523809523809523
is-data-descriptor,jonschlinkert/is-data-descriptor,1,0.7972278073727161,2,0.2857142857142857,0.5,2,0.2857142857142857,0.5,3,0.42857142857142855,0.75
proxyquire,thlorenz/proxyquire,1,0.7971671647314207,36,0.7659574468085106,0.972972972972973,1,0.02127659574468085,0.02702702702702703,10,0.2127659574468085,0.2702702702702703
dargs,sindresorhus/dargs,1,0.7970115107315167,17,0.9444444444444444,0.9444444444444444,1,0.05555555555555555,0.05555555555555555,0,0,0
semver-diff,sindresorhus/semver-diff,1,0.796571621906117,7,1,1,0,0,0,0,0,0
void-elements,pugjs/void-elements,1,0.7965448215253634,4,0.6666666666666666,1,0,0,0,2,0.3333333333333333,0.5
object.entries,es-shims/Object.entries,1,0.7965032615814513,7,0.7777777777777778,1,0,0,0,2,0.2222222222222222,0.2857142857142857
pathval,chaijs/pathval,1,0.7964567817630699,3,0.75,1,0,0,0,1,0.25,0.3333333333333333
is-path-inside,sindresorhus/is-path-inside,1,0.7964133298675791,7,0.7777777777777778,0.875,1,0.1111111111111111,0.125,1,0.1111111111111111,0.125
external-editor,mrkmg/node-external-editor,1,0.7963731005837141,3,0.16666666666666666,1,0,0,0,15,0.8333333333333334,5
jasmine-spec-reporter,bcaudan/jasmine-spec-reporter,1,0.7963609481199176,35,0.7954545454545454,0.9722222222222222,1,0.022727272727272728,0.027777777777777776,8,0.18181818181818182,0.2222222222222222
selfsigned,jfromaniello/selfsigned,1,0.7963244528640874,19,0.8636363636363636,0.9047619047619048,2,0.09090909090909091,0.09523809523809523,1,0.045454545454545456,0.047619047619047616
glob-watcher,gulpjs/glob-watcher,1,0.7963055032299251,5,0.2631578947368421,0.8333333333333334,1,0.05263157894736842,0.16666666666666666,13,0.6842105263157895,2.1666666666666665
path-is-inside,domenic/path-is-inside,1,0.7962023811953344,2,0.6666666666666666,1,0,0,0,1,0.3333333333333333,0.5
md5.js,crypto-browserify/md5.js,1,0.7960794301698837,8,0.8888888888888888,1,0,0,0,1,0.1111111111111111,0.125
inflection,dreamerslab/node.inflection,1,0.7959562528021711,0,0,NaN,0,0,NaN,36,1,Infinity
